Variável,HR,IC95% inf,IC95% sup,EP (robusto),z,p
grupo_diagnostico[DPOC],0.7588917752478462,0.7014401562643723,0.8210489824334565,0.04016583548858842,-6.868924721804366,6.468762793915319e-12
grupo_diagnostico[Asma],0.30063367046843803,0.2089417763053749,0.4325635850210795,0.18563445752393534,-6.474351869226645,9.521977247737135e-11
grupo_diagnostico[Insuf. respiratória],1.3942111765995002,1.262315532386536,1.539888209471656,0.05070553989145313,6.554092338746673,5.5981320835449475e-11
grupo_diagnostico[Outras],0.8405739386223873,0.7657208426396906,0.9227443043804232,0.04758620637932227,-3.649594565527712,0.0002626545354427031
idade_ns1,1.0433452562773848,1.0203464557432347,1.0668624540902556,0.011372612772008553,3.7310813628506483,0.00019065963051014925
idade_ns2,1.0098475118318475,0.941134736021108,1.0835770460076835,0.03595387844037266,0.2725531012384841,0.7851967671334921
idade_ns3,0.9763431404818157,0.8204108633024197,1.1619128544065964,0.08878164944758847,-0.26966356386352563,0.787419094194336
sexo_feminino,1.0060147481353923,0.942472496143016,1.0738410697476102,0.03328901661253619,0.18014145068424933,0.8570415219185028
raca_nao_branca,1.0661162474611425,0.9987182143614823,1.1380626054039686,0.03331947846633167,1.9214697497133846,0.05467251249482046
urgencia,1.507788305702753,1.3360465016556793,1.7016066222221033,0.06169960198982599,6.65553529770659,2.822707992042247e-11
comorbidade_registrada,1.3695351350779832,1.2788636843252568,1.4666351927904435,0.03494932983850216,8.997922599679503,2.3002889603681702e-19
inverno,1.1302439343885748,1.0525771854425927,1.2136414971649006,0.03632304568167382,3.370683219703979,0.0007498202596696734
