Comparação,Δ RMST (dias),EP,IC95% inf,IC95% sup,p
DPOC vs Pneumonia,-1.0899417836696088,0.2691174493184773,-1.6174119843338244,-0.5624715830053933,5.1204529385229236e-05
Asma vs Pneumonia,3.5381711957106177,1.067377521482985,1.4461112536039669,5.630231137817269,0.0009170005111687196
Insuf. respiratória vs Pneumonia,-6.66553294263538,0.47540726711798664,-7.597331186186634,-5.733734699084127,0.0
Outras vs Pneumonia,0.5966966492718058,0.2901285008794856,0.028044787548013983,1.1653485109955977,0.039718621651308794
