Variável,HR causa-específica,IC95% inf,IC95% sup,p
grupo_diagnostico[DPOC],0.7584447981735878,0.6975096868626746,0.8247032589094738,9.78848842117805e-11
grupo_diagnostico[Asma],0.3007372692801189,0.21403523347949793,0.4225608263824756,4.3810796147307885e-12
grupo_diagnostico[Insuf. respiratória],1.3933470172488878,1.2536872857269061,1.548564727886437,7.486360979743483e-10
grupo_diagnostico[Outras],0.8407358990841908,0.7653307447138179,0.9235704391742577,0.0002965417173810962
idade_ns1,1.043359667808637,1.021822295905609,1.0653509918228568,6.650606532314857e-05
idade_ns2,1.0098903574836449,0.9424329687426749,1.082176205591673,0.7802269208141549
idade_ns3,0.9761218756491479,0.8205443551344604,1.1611973321840419,0.7849862514402689
sexo_feminino,1.0060416414372708,0.9427061695841539,1.0736322906980273,0.8559280819220905
raca_nao_branca,1.066422257015823,0.998200618703885,1.139306477024022,0.05657630009096181
uti,3.089959085699676,2.8818250151776033,3.313125224818536,1.193929098391985e-220
urgencia,1.5079488034780681,1.3443807341931242,1.6914178670342974,2.3551812193160203e-12
comorbidade_registrada,1.369922764302284,1.279864806448852,1.4663176694112887,1.1666241239411029e-19
inverno,1.1300027726317527,1.0554785677456169,1.2097889101460169,0.0004462725241413381
