Variável,HR,e_value_estimativa,e_value_ic
DPOC vs Pneumonia,0.7584447981735878,1.966501267173277,1.7342611940805208
Asma vs Pneumonia,0.3007372692801189,6.105725812383863,4.053884078832484
Insuf. respiratória vs Pneumonia,1.3933470172488878,2.13366376920543,1.8328662721947624
Outras respiratórias vs Pneumonia,0.8407358990841908,1.6641124371154725,1.3830436431833653
