tempo,risco_1menosKM,risco_aalen_johansen,razao_vies
0.0,0.0,0.0,
3.015075376884422,0.0606636956590198,0.05302113375069298,1.1441418047426595
6.030150753768844,0.09767577433918652,0.07233601705967257,1.3503062279280633
9.045226130653266,0.13546181254304065,0.08469097250261351,1.5994834932242676
12.060301507537687,0.17629677623026116,0.09288812493489321,1.8979474109723975
15.07537688442211,0.21419373092857372,0.09769405760915247,2.1924949804573064
18.09045226130653,0.2553687912580511,0.10095647041610604,2.5294940503121133
21.105527638190953,0.29915514439538726,0.1031742710868658,2.8995130398693947
24.120603015075375,0.32778129867675926,0.10411364383941463,3.148303013794529
27.135678391959797,0.3617506465861718,0.10481890771621662,3.451196491815809
