Grupo,n,Óbitos,Letalidade bruta (%),Risco KM em 30d (%),Permanência mediana (dias)
Pneumonia,12590,1156,9.181890389197775,35.83266054248448,4.0
DPOC,10782,1393,12.919680949731033,39.90214003435567,5.0
Asma,3912,37,0.9458077709611452,20.751530125096984,2.0
Insuf. respiratória,2326,614,26.39724849527085,74.40699004024394,4.0
Outras,10390,811,7.8055822906641,34.01790750446939,4.0
