Variável,sHR,IC95% inf,IC95% sup,p
grupo_diagnostico[DPOC],0.7637681668805252,0.6897659422691766,0.8457097937033146,2.1854191291086042e-07
grupo_diagnostico[Asma],0.24278654782235257,0.1634743269496241,0.36057837890141575,2.3056690205035416e-12
grupo_diagnostico[Insuf. respiratória],1.296612872928317,1.1411008268919345,1.4733184856438977,6.752500085590502e-05
grupo_diagnostico[Outras],0.8224419768293606,0.7342743225059564,0.9211963220264991,0.0007282930553198596
idade_ns1,1.0593306968665006,1.032955615731161,1.0863792289171572,7.4470268795808535e-06
idade_ns2,0.9802551186471606,0.9019611970430824,1.0653452729275905,0.6386728165157216
idade_ns3,1.0383354094503385,0.842651658378624,1.2794615803556244,0.7240238728466364
sexo_feminino,1.0067819647721046,0.9303350577127154,1.0895106189832295,0.8667760447780173
raca_nao_branca,1.0742719696291174,0.9913205552607238,1.1641645667554004,0.08057639117424004
uti,4.109157122520935,3.7732270064463043,4.4749950715176565,2.270039373619257e-231
urgencia,1.4647279832130318,1.2723822161819702,1.6861506216623245,1.0740847946949446e-07
comorbidade_registrada,1.5288388674236035,1.4060812462360555,1.6623138163615683,2.7802699402246835e-23
inverno,1.1215116414662314,1.0325887528811393,1.2180922544767092,0.006511794769035713
