Variável,HR,IC95% inf,IC95% sup,EP (robusto),z,p
grupo_diagnostico[DPOC],0.7584447981735878,0.7008739145825656,0.8207446445188095,0.04027727721456026,-6.864546950164379,6.670260084171366e-12
grupo_diagnostico[Asma],0.3007372692801189,0.2091143817079676,0.432504471454135,0.18538893763160208,-6.481067696277882,9.107579350255396e-11
grupo_diagnostico[Insuf. respiratória],1.3933470172488878,1.2602159878415167,1.5405422000728677,0.051238519896191166,6.473816563874087,9.555790202120251e-11
grupo_diagnostico[Outras],0.8407358990841908,0.7655592170736221,0.9232948101791683,0.047792209399815905,-3.6298321946330003,0.0002836055305182418
idade_ns1,1.043359667808637,1.020373991434704,1.0668631360145866,0.01136589145999613,3.7345030458859245,0.00018808621512342029
idade_ns2,1.0098903574836449,0.9412492636586232,1.0835371389021753,0.03591344062375891,0.2740413572917032,0.7840528392242423
idade_ns3,0.9761218756491479,0.8203342583441806,1.1614947278247723,0.0887136515028153,-0.27242512695884935,0.7852951545378573
sexo_feminino,1.0060416414372708,0.9423391846431088,1.0740504064777028,0.03337482984754563,0.18047923921081918,0.8567763514832506
raca_nao_branca,1.066422257015823,0.9987082552213019,1.1387273754002563,0.033470992912267995,1.9213460742934116,0.05468809213616289
uti,3.089959085699676,2.896123854730419,3.296767552155232,0.03305397922244429,34.130772647852964,2.5793323565847888e-255
urgencia,1.5079488034780681,1.3355210322237911,1.702638550083052,0.06195461651273103,6.629858147484718,3.360096169314722e-11
comorbidade_registrada,1.369922764302284,1.2787876919118215,1.46755273922594,0.035124037447615775,8.961223842747565,3.2109448616413364e-19
inverno,1.1300027726317527,1.051600085148131,1.214250820430069,0.03668801677030347,3.3313353279042994,0.0008643041942491732
