Grupo,Internações,Óbitos,Pessoas-dia,Taxa /1.000 pessoas-dia,IC95% inf,IC95% sup
Pneumonia,12590,1156,71110.5,16.25638970334901,15.332640280830537,17.221244690905095
DPOC,10782,1393,70414.0,19.782997699321157,18.757610819216787,20.849860749934113
Asma,3912,37,13450.0,2.7509293680297398,1.9366387469060489,3.7919231767279564
Insuf. respiratória,2326,614,13178.0,46.59280619213841,42.97969831580597,50.42852721810527
Outras,10390,811,58324.0,13.905081955970099,12.964398362575816,14.895977226428919
