Variável,HR causa-específica,IC95% inf,IC95% sup,p
grupo_diagnostico[DPOC],0.9398150168041345,0.9114833379990994,0.9690273304934821,7.051905691336345e-05
grupo_diagnostico[Asma],1.7106899003416445,1.6438979795156194,1.7801955909655647,7.644704328943177e-154
grupo_diagnostico[Insuf. respiratória],1.033338264293318,0.9763379050811927,1.0936664067794535,0.25729922060201177
grupo_diagnostico[Outras],1.0255537096026228,0.9959179145256837,1.0560713849400056,0.09168837937547686
idade_ns1,0.9889129952433774,0.985837476123542,0.9919981090662806,2.2950290165167895e-12
idade_ns2,0.9936785604653366,0.9800704755232129,1.0074755909786381,0.3673967733790018
idade_ns3,1.0134180687578986,0.9741254782442718,1.0542955759005972,0.508847983061165
sexo_feminino,1.00114417249033,0.9789718878544849,1.023818627016927,0.9202852013999929
raca_nao_branca,1.0152195881508197,0.992506297715457,1.0384526672903838,0.19073545329132038
uti,0.4536224321784527,0.43922818668037716,0.46848840128111935,0.0
urgencia,0.9940592960664186,0.9603752046164037,1.0289248195352518,0.73478444309873
comorbidade_registrada,0.7352034144828073,0.7172626014312984,0.7535929791802364,1.5582231826120233e-131
inverno,0.9838062553541994,0.9606522061286148,1.0075183733502722,0.1790908187419397
