index,test_statistic,p,-log2(p),viola
comorbidade_registrada,0.2752522921433559,0.59983005363138,0.7373742866874892,False
grupo_diagnostico[Asma],1.2024122391524936,0.27284008193857723,1.8738724939039335,False
grupo_diagnostico[DPOC],1.1946514727021043,0.2743933031027288,1.8656828236477112,False
grupo_diagnostico[Insuf. respiratória],0.9464131670678202,0.3306339783231673,1.5966931009304484,False
grupo_diagnostico[Outras],1.4568821910498164,0.22742684896006782,2.136525512710747,False
idade_ns1,2.030819964870972,0.15413742797693591,2.6977108722278293,False
idade_ns2,3.9791826156284524,0.046065912331762354,4.440156603995282,True
idade_ns3,4.807760088389884,0.028331848331810284,5.141431465497728,True
inverno,0.4082371989466036,0.5228655922275529,0.9354879597876106,False
raca_nao_branca,0.20593758293682687,0.6499702909673511,0.6215543183672093,False
sexo_feminino,0.0853145353308182,0.770220472780176,0.3766566238092148,False
urgencia,1.448546648825787,0.2287612982152133,2.1280850969484404,False
uti,0.021249788013277746,0.8841005355987006,0.17771765970208148,False
