Variável,HR bruto,IC95% inf,IC95% sup,p
idade,1.054717982009405,1.052896077560929,1.0565430390347499,0.0
sexo_feminino,1.0080679174214662,0.947462402784356,1.072550133016456,0.7994896548613036
raca_nao_branca,1.081589746885901,1.012465936686006,1.1554328280888195,0.019931791507897745
uti,4.614231135147881,4.324074615588601,4.923857902870604,0.0
urgencia,1.4204448896982806,1.274324266364399,1.583320460832377,2.3453925104378966e-10
comorbidade_registrada,2.194442856647183,2.05918035070025,2.338590424802884,1.6508971034085847e-129
inverno,1.092352653573601,1.0236177137265996,1.1657030781786486,0.0077231884228667145
